Name,Value,Agility,Dribbling,Finishing,Shot power,Sprint speed,Interceptions,Marking
M. Cafaro,1.4,81,71,66,74,77,48,44
A. Nuhiu,0.675,45,68,65,65,36,29,27
P. Jagne,0.525,73,67,47,67,80,47,63
L. Burnet,0.65,84,66,46,42,76,63,64
D. Samuel,0.9500000000000001,63,65,67,63,80,26,30
Y. González,0.85,73,63,57,70,72,38,56
C. Giraldo,0.55,34,16,15,23,38,17,17
D. van Bruggen,0.8250000000000001,55,42,24,70,68,63,66
P. Ochs,1.4,78,67,59,75,69,48,42
M. Defendi,0.55,82,68,50,64,77,62,44
P. Sisniega,0.75,45,24,11,52,48,18,8
Jeffrén,0.625,79,72,53,64,72,48,38
Pulido,0.65,52,39,27,58,39,62,66
S. Al Muwallad,0.625,70,59,51,52,76,57,64
E. Markkanen,0.8250000000000001,31,55,64,70,65,28,27
D. Gómez,0.775,75,71,60,53,73,31,20
D. Rigo,1.3,67,70,52,64,62,47,42
S. Eastwood,0.55,62,14,13,24,52,27,14
R. Windbichler,0.65,57,41,37,25,68,62,66
A. Almici,0.7000000000000001,70,58,17,62,83,52,59
P. Aguilar,0.35000000000000003,70,55,53,60,68,62,66
C. Cropper,0.7000000000000001,40,11,13,17,37,16,13
N. Bertocchi,0.65,59,64,57,75,55,58,60
F. Scaglia,0.775,34,27,17,31,54,62,67
C. Carrillo,0.775,75,55,40,46,66,59,72
I. Harkes,1.1,65,65,62,75,62,61,59
A. Kokoszka,0.47500000000000003,70,47,31,63,66,68,60
H. Vučkić,0.8250000000000001,61,66,65,74,64,38,30
E. Jääger,0.375,66,60,41,71,63,66,65
Bustos,0.2,67,50,60,72,69,55,59
Hebert,0.65,53,30,24,55,61,60,63
J. Jach,0.8250000000000001,63,53,40,57,72,63,65
N. Stefanelli,0.9500000000000001,81,72,75,63,74,14,21
L. Sercombe,0.725,75,63,66,68,77,55,54
E. Rashani,0.85,81,67,57,60,80,43,36
J. Kubicki,0.775,63,47,51,59,63,64,63
Juan Cámara,0.875,79,68,64,61,73,52,39
C. Oikonomidis,1.0,70,70,63,63,66,49,49
E. Hajri,0.2,58,56,52,57,54,67,62
J. O'Connell,0.8250000000000001,49,36,35,41,53,66,63
Chris Farminhão,0.26,44,51,45,71,57,66,73
E. Reséndez,0.875,31,9,9,39,33,12,5
D. Widgren,0.725,70,61,29,65,68,65,62
A. Mühling,0.8,66,62,56,71,67,57,47
C. Giraldo,0.09,57,53,53,65,40,65,75
A. D'Angelo,0.55,60,60,53,63,61,65,48
D. Moro,0.27,63,61,47,67,65,65,55
Heo Young Joon,0.85,67,67,67,65,68,26,22
L. Hodson,0.675,75,58,51,60,68,55,61
H. Bahebri,0.8250000000000001,81,67,56,71,76,42,39
M. Poletanović,0.75,61,64,59,73,54,66,53
J. Hopcutt,0.875,80,67,67,62,77,35,28
S. Sabelli,0.7000000000000001,73,59,35,35,82,67,61
M. Konczkowski,0.725,71,60,37,34,83,56,61
A. Jovanović,0.55,38,31,20,35,48,64,71
C. Diedhiou,0.5,45,35,24,34,75,65,65
L. Ospina,0.675,40,28,16,37,53,53,64
R. Boguski,0.4,85,64,68,50,68,46,26
F. Fragapane,0.85,83,70,58,67,73,50,24
S. Miangue,0.9,55,59,25,66,69,60,64
T. Romanchuk,0.65,64,58,61,68,60,65,61
Y. Marillat,0.8,45,16,7,29,51,6,10
J. Baldwin,0.8250000000000001,71,44,42,46,66,59,66
J. Donachie,0.725,52,34,31,38,68,68,61
M. Orihuela,0.675,69,72,50,59,68,62,55
B. Schulz,0.425,63,47,24,49,62,66,65
R. Williams,0.9,84,66,57,58,78,20,20
D. Asprilla,0.8,79,72,63,77,75,34,34
F. Miguel,1.0,66,61,52,50,70,70,63
A. Awaji,0.675,78,68,73,66,86,48,14
M. Bukata,0.8250000000000001,79,65,34,59,64,65,63
K. Broll,0.75,26,12,7,19,15,14,9
B. Sævarsson,0.35000000000000003,64,51,41,56,80,62,66
J. Quiñones,1.1,82,65,68,61,82,23,14
J. Hingert,0.65,74,65,23,50,77,62,62
B. Ibini,0.8,77,71,63,71,82,37,53
B. Saller,0.725,68,62,47,65,68,65,58
Mateus Gonçalves,0.9500000000000001,77,77,68,67,81,18,24
F. Micolta,0.75,71,68,65,62,89,59,59
A. Cajtoft,0.75,28,13,9,22,31,13,10
Benny,1.0,78,67,40,58,75,26,46
F. Banguero,0.5,65,54,28,25,75,63,59
H. Iikura,0.4,37,7,9,21,24,14,7
J. Moreno,0.0,54,60,51,66,66,72,67
T. Antonis,0.85,69,66,58,64,67,60,58
J. Riedel,0.675,74,63,35,45,78,69,64
O. Hein,0.6,78,65,55,68,67,64,57
T. Yalçıner,0.47500000000000003,67,63,45,51,64,65,66
C. Taylor,0.6,71,66,57,61,74,29,42
B. Kadrii,0.775,82,69,62,70,80,51,54
B. Gueye,0.9,66,49,66,70,74,11,12
S. Adelos,0.5,64,67,57,52,70,65,58
A. Šćekić,0.65,57,60,36,58,51,68,64
O. Mendoza,0.5,69,58,22,44,69,64,63
J. Ring,0.7000000000000001,76,70,47,64,78,43,31
B. Girth,0.85,77,58,68,61,72,19,10
D. Martin,0.4,59,16,15,23,36,15,15
J. Taylor,0.8250000000000001,86,64,63,61,88,28,24
K. Sarkodie,0.55,78,56,49,65,80,59,64
T. Ondaan,0.85,82,75,56,74,87,60,19
Andreu,0.2,70,61,55,65,65,60,65
M. Johnson,0.75,85,70,47,65,87,34,36
J. Brinkies,0.7000000000000001,55,12,15,36,52,21,8
L. Fröde,0.8250000000000001,48,58,44,63,51,61,57
V. Janjetović,0.425,42,16,15,15,44,18,15
J. Glad,0.925,45,41,25,34,55,71,66
M. Maolida,1.3,71,74,70,63,77,13,18
D. Grote,0.6,76,64,48,62,84,49,51
P. Herrmann,0.47500000000000003,65,53,19,35,69,63,66
L. Martinelli,0.525,56,25,19,40,55,65,70
T. Černý,0.375,63,22,12,23,33,24,19
L. Nganioni,0.725,70,66,38,59,75,65,57
M. Kobras,0.4,40,8,9,22,54,29,17
P. Heerwagen,0.26,30,14,13,22,36,19,12
A. Al Sahabi,0.47500000000000003,74,58,30,45,61,57,64
N. Tyson,0.3,81,67,62,65,91,36,33
Y. Tasaka,0.425,79,69,53,67,66,62,59
T. Chow,0.975,66,60,56,57,66,64,55
M. Caicedo,0.0,73,70,62,69,82,46,28
R. Ache,1.1,65,55,63,65,75,17,22
S. Schuppan,0.47500000000000003,64,57,42,62,64,66,65
Y. Yeboah,1.1,78,74,60,61,87,13,17
Y. Al Salem,0.525,75,63,66,65,69,27,19
S. Al Sawadi,0.875,89,67,54,55,78,26,22
Lee Ki Je,0.65,75,62,36,63,72,58,66
Wescley,0.8,80,70,47,62,79,20,21
D. Zabala,0.775,77,69,62,69,69,30,38
S. Ruprecht,0.47500000000000003,41,48,47,70,48,61,61
E. Olivera,0.65,42,38,29,56,61,69,65
P. Brożek,0.35000000000000003,63,61,68,67,47,30,18
P. Karasev,0.725,67,62,58,67,68,70,64
A. Taylor,0.625,63,41,39,36,65,57,62
A. Wiegel,0.775,82,65,62,66,81,47,40
P. Weihrauch,0.85,77,74,63,67,76,32,20
A. Teikeu,0.625,48,36,25,40,55,58,64
W. Díaz,0.04,66,43,19,40,33,65,72
M. Sprocati,0.875,73,73,50,60,75,16,18
Yann,0.9,88,71,50,67,67,28,45
Adryan Limeira,0.725,91,75,67,62,77,31,31
T. Pochettino,1.1,61,66,43,53,65,40,40
A. Wordsworth,0.65,59,62,63,70,67,48,33
A. Kurdy,0.675,70,58,48,59,75,59,60
A. Arregui,0.675,68,62,52,61,69,63,62
L. Perdomo,0.925,79,56,32,47,62,76,64
M. Röser,0.7000000000000001,68,63,55,71,83,40,35
F. Ulvestad,0.8,72,69,61,66,65,55,49
R. Smallwood,0.675,67,57,49,57,63,64,65
Ricardo Vaz,1.1,78,68,62,61,79,25,22
K. Anderson,1.0,77,57,69,70,73,15,19
K. Freeman,0.675,78,67,62,61,72,53,64
R. Eckardt,0.675,69,60,63,57,64,51,45
F. Kippe,0.04,46,24,46,71,27,66,62
L. Taylor,0.75,81,64,67,65,82,31,34
D. Martínez,0.6,68,64,56,55,73,64,62
B. Hušidić,0.6,64,65,60,70,50,59,57
Luis Fernández,0.875,71,60,63,75,72,21,29
G. Shelia,0.525,32,9,6,25,38,13,8
M. Faško,0.975,73,74,60,68,84,62,61
C. Calvo,0.675,53,54,27,56,74,65,67
O. Garvan,0.625,65,61,55,58,43,58,56
D. McCrory,0.525,71,52,51,54,64,59,68
Yelko Pino,0.9500000000000001,75,72,57,48,60,39,43
B. Innocent,0.925,77,63,45,65,64,68,60
Jano,0.47500000000000003,42,57,43,66,65,73,62
J. Amano,0.775,67,69,52,62,72,55,34
K. Kunz,0.5750000000000001,36,7,6,28,37,8,6
E. Larsson,0.65,73,60,46,57,79,59,61
J. Castelletto,0.75,70,52,18,50,82,66,64
Iván Garrido,0.65,58,48,36,66,71,69,61
J. Rafferty,0.725,64,60,27,37,75,57,66
D. Cardoso,0.5750000000000001,45,52,29,48,69,65,69
Danilo Sacrio,0.725,86,67,66,70,87,25,21
T. Szántó,1.0,72,67,65,61,72,64,61
N. Ravaglia,0.525,39,16,10,42,31,14,20
J. Ardaiz,1.3,61,64,68,71,71,13,11
I. Rivas,0.5,79,65,48,45,71,61,65
J. Hartock,0.425,57,13,11,18,38,27,12
Nildo Reisão,0.26,44,37,32,55,58,74,72
E. Jónsson,0.525,59,56,59,63,50,67,66
H. Shala,0.8,80,69,65,69,75,56,53
V. Zapata,0.5750000000000001,75,68,58,71,77,52,48
H. Obando,0.75,51,56,22,27,85,56,65
C. Stanković,0.625,65,14,8,22,47,22,13
H. Pereira,0.47500000000000003,68,67,55,68,70,66,57
Emílio Trevões,0.65,78,77,65,62,91,23,21
B. Finne,1.0,79,69,66,70,76,21,18
B. Emir,0.47500000000000003,63,59,32,65,71,66,69
P. Madden,0.675,71,63,68,66,75,29,22
L. Evans,0.85,59,62,62,65,56,57,50
T. McMahon,0.425,65,61,40,55,69,65,68
B. Prokopič,0.625,78,66,59,64,69,62,62
A. Pomini,0.09,49,12,10,21,44,19,18
H. Bernardello,0.47500000000000003,0,62,42,69,45,67,58
N. Mezquida,0.775,85,68,55,67,59,38,37
Nico Hidalgo,0.8,80,72,53,62,77,53,45
B. Chardonnet,0.975,57,45,24,49,75,60,69
M. Njie,0.9500000000000001,81,68,60,63,84,20,19
S. Raggett,0.975,41,31,37,31,67,63,64
A. Briseño,0.725,63,41,41,45,61,65,64
O. Myny,0.875,77,66,63,65,85,37,22
D. Hediger,0.6,71,56,52,62,75,56,28
S. Wannenwetsch,0.775,71,63,42,67,67,65,59
R. Oxford,1.2,58,46,22,49,72,62,65
M. Gspurning,0.09,27,20,19,23,31,22,14
Renan Tojeiras,0.26,81,70,58,77,52,50,51
A. Katranis,0.975,62,69,40,58,73,61,58
C. Booth,0.625,73,62,45,52,73,59,64
G. Wojtkowiak,0.25,69,52,35,42,59,69,68
S. Luperto,1.3,53,45,36,37,49,65,68
B. Angulo,0.8,84,66,51,62,81,28,35
K. van Veen,0.8,59,62,67,76,53,19,20
E. Alexander,0.5,64,63,52,66,65,60,60
E. Tié Bi,0.675,71,32,35,59,76,65,62
P. Segbefia,0.75,70,73,51,58,73,56,49
D. Mast,0.775,72,69,60,64,84,28,19
L. Abergel,0.775,72,63,32,35,69,63,63
F. Canales,0.425,65,8,12,40,53,23,12
S. Scappini,0.65,57,64,71,65,56,25,29
S. Nutz,0.8,75,63,52,68,70,58,62
R. Coly,0.9,74,64,19,29,83,61,60
Dilson Calegari,0.4,63,61,66,62,62,57,32
G. Paracki,0.47500000000000003,65,62,43,59,67,67,62
M. Pajač,0.9,59,65,62,70,79,49,44
V. Skjerve,0.5,53,59,53,69,74,62,63
T. Brochmann,0.675,81,71,65,73,70,34,35
A. Leitner,0.625,30,16,20,35,26,10,20
Lee Seok Hyun,0.725,72,62,58,66,71,53,12
P. Zulechner,0.675,65,62,65,67,65,29,26
A. Solosin,0.425,41,16,14,18,38,16,15
M. Niemeyer,0.9500000000000001,71,70,67,57,72,41,32
O. N'Diaye,0.7000000000000001,61,39,26,51,74,64,63
C. Burgess,0.725,32,50,20,41,55,50,67
A. Navarro,0.525,55,53,72,70,53,28,12
G. Maroni,1.3,87,76,40,58,75,30,32
Bruno Wilson,0.8250000000000001,40,43,21,46,48,62,64
João Vasco,0.925,61,59,68,70,68,15,22
Bernabé,0.7000000000000001,30,14,19,18,46,20,19
A. van Peppen,0.35000000000000003,62,60,53,67,67,64,68
A. Luna,0.775,90,70,59,58,77,23,27
P. van Moorsel,0.75,66,66,56,66,53,45,32
G. Paquiez,0.85,65,57,34,58,77,66,61
J. Legear,0.6,73,68,64,69,72,44,32
M. Manotas,0.9,72,69,67,65,77,27,23
S. Hakšabanovič,1.3,80,68,54,68,73,26,30
Gildo,1.0,83,71,62,70,75,38,27
A. El Khayati,0.65,68,67,64,66,66,29,28
M. Sowislo,0.325,61,58,62,66,52,62,50
B. Grant,0.675,77,64,60,61,79,42,29
M. Sollbauer,0.625,56,48,24,30,53,60,66
Lee Yong,0.47500000000000003,77,54,54,53,59,55,69
Tomás Podstawski,0.9,62,55,28,70,63,70,66
Y. Mena,0.8250000000000001,70,62,63,70,70,12,23
F. Acuña,0.625,89,71,52,67,79,38,30
R. Dejmek,0.5,64,45,28,56,70,62,64
M. Tévez,1.1,83,69,57,69,83,22,23
T. Kayhan,0.525,72,61,53,70,75,62,62
A. Al Kassar,0.5750000000000001,36,19,15,17,41,20,11
Marteli,0.0,47,38,20,40,61,52,68
A. Figueroa,0.5,70,45,43,51,65,71,58
J. Gómez,1.0,61,58,18,51,59,63,68
A. Zain,0.7000000000000001,80,69,62,63,78,62,55
D. Drocco,0.65,75,66,52,54,61,52,50
S. Schiek,0.525,76,57,50,63,85,62,59
N. Quaschner,0.85,66,63,64,71,86,23,17
A. Sušac,0.525,57,40,38,50,57,67,64
M. Perlak,0.5750000000000001,67,66,58,66,67,44,30
B. Clarke,0.65,89,66,65,70,73,25,28
D. Schahin,0.675,55,61,63,70,50,38,27
J. Stans,0.675,63,64,63,72,59,35,54
M. Rømer,0.8,65,63,49,65,68,65,40
Ever Rodeiro,0.4,70,65,50,71,58,70,60
M. Axente,0.625,68,62,65,75,65,19,19
C. Schuler,0.5,34,33,33,49,55,65,65
D. Offenbacher,0.7000000000000001,83,65,54,72,75,63,52
M. Kuhn,0.775,73,63,44,55,85,57,59
Y. Arrechea,0.09,44,38,41,42,49,60,72
S. Nagüel,0.85,83,69,55,59,73,60,50
C. Mafla,0.7000000000000001,72,66,36,34,68,72,56
D. Bowditch,0.5750000000000001,70,68,65,61,69,48,41
C. Nelson,0.775,70,57,38,42,67,56,63
L. Di Lorenzo,0.2,71,63,50,62,67,77,39
B. Zolinski,0.8,73,64,62,61,84,63,56
Y. Mejía,0.7000000000000001,70,66,59,80,73,30,32
S. Brown,0.375,63,14,15,23,50,24,14
Kwak Hae Seong,0.7000000000000001,70,63,57,43,71,63,66
M. Caranta,0.04,49,10,12,20,51,24,12
Raphael Doninho,0.625,80,67,54,68,68,54,45
M. Farrona Pulido,0.8250000000000001,86,68,59,46,83,21,24
S. Schäfer,0.725,56,31,26,35,60,66,66
T. Murg,0.9,80,67,65,61,80,38,36
F. Brustad,0.675,65,60,66,68,90,38,39
B. Paulsen,0.675,61,57,56,59,65,61,60
K. Mayi,0.85,72,65,66,59,88,18,21
M. Starke,0.75,63,70,64,67,78,45,38
E. O'Connell,0.875,59,55,33,54,61,61,64
M. Engels,0.875,72,70,53,67,78,23,22
S. Floranus,1.2,80,66,47,54,86,64,63
R. Brosco,0.65,59,32,26,45,39,68,66
V. Ustinov,0.65,62,61,29,24,75,61,64
C. Aneke,0.875,50,66,64,70,52,53,49
Ángel,0.75,78,61,63,57,81,58,63
T. Morimoto,0.65,72,68,64,70,67,31,21
D. Toth,0.47500000000000003,84,59,54,62,69,60,60
Hong Jung Nam,0.425,48,14,15,13,36,22,11
G. Valverde,0.0,52,57,25,25,62,62,66
A. Geipl,0.675,68,60,46,71,65,59,64
L. Barrera,0.75,70,66,59,57,83,48,37
Y. Gómez Andrade,0.675,35,35,22,52,50,65,62
G. Bolger,0.525,71,58,56,67,51,64,58
L. Nicholls,0.65,40,12,11,30,42,9,11
R. Teibert,0.675,71,66,52,64,65,62,60
Carlos Martínez,0.65,75,64,56,68,72,44,32
W. Marinus,0.875,69,66,67,59,75,30,31
M. Figueroa,0.75,76,65,71,60,67,20,16
L. Guldan,0.2,53,45,20,39,31,66,64
Adán Gurdiel,0.85,67,61,49,71,80,57,57
R. Lašík,0.8250000000000001,82,64,28,60,74,61,57
I. Bella,0.675,76,65,48,70,77,53,53
F. Beijmo,0.975,66,55,23,66,90,60,57
D. Furman,0.0,71,65,59,71,69,48,71
T. Børven,0.85,74,65,63,71,70,22,33
S. Vega,1.2,64,63,22,34,72,62,69
O. Fisdono,0.725,91,75,67,62,77,31,31
S. Özcan,1.3,74,70,55,62,65,44,39
D. Limnios,1.1,75,77,66,70,80,16,30
A. Browne,0.9,70,66,60,57,72,64,63
E. Lieftink,0.775,59,62,57,66,58,56,65
R. Lacazette,0.8250000000000001,72,59,52,69,78,64,55
R. Improta,0.9500000000000001,81,70,60,47,81,15,11
L. León,0.0,37,33,20,45,51,61,70
Oriol Busquets,1.2,56,58,32,56,59,65,67
D. Arreola,0.425,67,64,56,70,72,65,66
A. Tarbell,0.65,25,15,15,20,18,12,17
L. Ngwat Mahop,0.625,71,68,60,71,73,54,52
J. Attinella,0.55,34,21,16,25,53,13,13
M. Taş,0.7000000000000001,68,58,49,52,67,65,64
J. Yaro,0.85,78,50,36,46,77,68,68
J. Barraza,0.775,78,65,62,64,72,36,39
O. Arce,0.75,39,65,66,70,35,40,29
F. Noor,0.875,72,65,59,60,73,61,60
M. Wasiluk,0.47500000000000003,52,45,29,68,55,76,63
T. Verhaar,0.625,64,70,65,82,50,22,18
L. Butrón,0.0,26,10,9,27,46,22,17
C. Gazale,0.725,86,67,66,70,87,25,21
H. Kawano,0.675,80,64,62,58,63,66,59
F. Müller,0.47500000000000003,79,59,46,53,76,62,67
S. Brisley,0.6,70,22,24,51,65,61,65
M. Lund,0.7000000000000001,56,52,56,67,68,60,60
T. Lee,0.5750000000000001,75,65,66,67,60,57,22
D. Boldor,0.75,49,50,24,45,49,64,67
A. Maisonnial,0.975,32,18,16,18,63,19,12
C. Oliveira Souza,0.9,87,69,60,54,74,25,27
A. Piech,0.525,73,65,68,62,78,31,24
J. Reeves,0.9,78,69,48,58,73,54,49
N. Brock-Madsen,0.85,57,60,68,68,65,24,25
E. Barrega,0.65,78,77,65,62,91,23,21
G. Ramírez,0.9,71,62,64,63,69,66,57
P. Cuadra,1.0,76,70,65,71,78,18,22
L. Martin,0.6,76,66,59,70,78,50,42
E. Fryers,0.675,72,67,35,45,74,55,67
L. Menossi,0.8250000000000001,90,65,35,50,75,65,62
S. Church,0.0,71,62,66,63,75,32,38
J. Jacobson,0.47500000000000003,77,62,51,62,74,60,57
O. Cissé,0.65,35,59,41,67,46,64,55
D. Mohamed,0.525,72,61,55,59,75,67,60
J. Riley,1.0,64,66,28,64,77,60,55
A. Matějů,0.85,69,64,28,56,72,62,67
K. Pezzoni,0.5750000000000001,29,42,22,64,32,68,58
J. Moreno,0.975,42,35,26,34,53,63,65
A. Engin,1.2,75,67,60,59,78,26,15
N. Dovedan,0.9,87,69,66,63,74,25,25
A. Monfray,0.7000000000000001,70,39,40,69,67,64,62
F. Kalig,0.75,63,47,40,52,64,66,67
M. Maouche,0.875,67,67,54,58,70,67,55
K. Higashi,0.7000000000000001,57,65,65,63,66,55,41
D. Boo Wiklander,0.375,65,39,24,47,61,66,63
M. Smith,0.5,75,59,38,42,82,60,63
M. Helik,0.75,46,47,36,52,61,65,64
E. Torregrossa,0.8250000000000001,57,61,66,65,66,25,12
C. Cadden,0.9500000000000001,77,66,48,67,76,44,42
Yin Hongbo,0.0,64,66,60,60,64,52,44
J. Föhrenbach,0.775,62,59,29,41,67,66,63
A. Hainault,0.425,58,50,39,60,53,65,66
C. Washington,0.8250000000000001,80,65,70,70,81,32,22
Clavería,0.8250000000000001,68,49,62,70,57,73,70
B. Pittón,0.75,61,54,51,67,70,73,62
J. Posavec,0.925,33,6,6,25,17,14,7
T. Cywka,0.47500000000000003,63,67,59,60,72,66,61
L. Thomas,0.6,61,18,14,25,42,12,16
R. Sufyani,0.6,79,63,65,68,73,34,21
V. Khozin,0.525,52,54,31,76,62,54,70
A. Sadiku,0.8250000000000001,60,59,68,68,78,39,20
J. Eggestein,1.4,73,62,71,64,68,36,23
M. Viniegra,0.5,65,61,51,66,63,59,61
P. Bouby,0.26,69,55,42,69,54,63,59
T. Trybull,0.85,69,63,34,61,51,64,55
J. Grot,1.1,50,63,61,75,77,35,28
M. Prévot,0.925,29,6,7,23,26,11,5
Calero,0.875,61,30,23,40,60,65,65
D. Peitz,0.375,30,34,42,76,32,68,60
V. Jovanović,0.375,70,61,57,64,64,65,70
D. Erdmann,0.625,49,37,33,62,55,60,64
D. Whitehead,0.15,58,57,54,67,34,70,62
S. Gorga,0.8250000000000001,63,36,20,49,71,68,65
L. Štetina,0.7000000000000001,60,27,21,82,58,69,59
J. Karacan,0.65,73,65,54,70,74,65,63
B. Zemanski,0.5,48,65,48,72,51,63,70
E. Montagna,0.9,73,66,64,65,81,22,48
Marcelinho,0.0,70,72,63,68,67,53,57
C. Myers,0.47500000000000003,71,65,54,67,78,64,65
T. Coremans,0.55,35,15,19,26,32,14,15
Daniel Amora,0.625,62,65,35,66,69,73,69
L. Thürauer,0.625,77,69,59,66,75,25,40
A. Favilli,1.1,58,63,67,63,68,10,10
Park Tae Hong,0.65,60,38,24,39,68,60,71
K. Yonekura,0.47500000000000003,67,50,29,32,51,72,69
B. Pringle,0.65,72,62,62,66,60,54,53
D. Boysen,0.75,82,68,65,65,78,31,41
E. Hestad,0.9,79,69,52,68,61,52,47
A. Jeremejeff,0.9,69,61,67,53,74,18,21
S. Smith,0.425,65,59,57,58,62,63,66
J. Thomassen,0.47500000000000003,73,57,35,74,78,62,60
K. Ramsteijn,0.65,51,56,33,64,56,59,65
T. Ambrose,1.1,77,67,68,67,86,19,20
T. Skarke,0.925,77,70,63,67,76,31,33
Luis Marleiro,0.725,68,63,65,70,78,33,34
J. Mattock,0.6,65,63,35,57,73,63,62
D. Kiki,0.75,67,66,54,58,77,60,62
J. Gressel,0.9500000000000001,61,67,56,66,64,62,54
Q. Boisgard,1.4,56,67,56,60,66,28,47
Brais Méndez,1.2,63,66,69,67,69,11,15
B. Shea,0.675,80,69,64,80,74,63,59
Tià Sastre,0.9500000000000001,91,62,50,48,73,57,35
M. Van Heerden,0.47500000000000003,60,66,44,36,68,69,59
A. Oshilaja,0.775,71,54,24,39,84,61,62
S. Yamamoto,0.35000000000000003,59,68,41,52,62,63,68
P. Coutts,0.65,74,70,60,67,73,44,34
A. Long,0.775,56,46,32,46,78,60,67
J. Biada,0.875,72,67,67,71,69,39,29
E. Franquez,0.55,70,45,45,57,61,64,70
Lim Jong Eun,0.6,40,58,38,39,58,63,63
N. Ben Khalifa,0.8250000000000001,73,67,59,58,69,32,18
K. Broadfoot,0.375,28,53,19,55,32,66,65
M. Marshall,0.6,92,67,58,62,91,34,22
N. Mohammed,0.9500000000000001,87,68,59,42,84,12,20
D. López,0.875,76,65,64,68,78,23,38
J. Walsh,0.775,63,44,39,49,73,63,62
U. Antuna,1.2,88,69,55,55,77,35,33
R. Matisano,0.47500000000000003,52,45,51,61,66,53,77
Kim Sung Hwan,0.47500000000000003,83,65,47,76,67,65,66
Onwu,0.65,63,54,67,77,80,29,23
M. Rutten,0.7000000000000001,63,59,49,53,67,65,66
Y. Al Nakhli,0.625,68,55,41,52,76,57,62
D. Bejarano,0.0,54,57,48,24,61,63,73
Leo Pereira,0.725,40,36,27,63,53,67,64
V. Dávila,0.875,78,64,53,55,73,25,35
R. Edwards,1.2,78,67,50,58,85,55,55
Moreto Cassamá,1.4,84,69,59,67,73,45,42
Mario Ortíz,0.5750000000000001,73,49,43,56,62,68,48
Álvaro Tejero,1.0,79,61,35,75,76,62,61
A. Papazoglou,0.65,39,55,66,73,37,23,22
O. Halvorsen,0.625,66,65,57,64,76,51,53
A. Bunjaku,0.4,70,65,64,70,55,39,22
L. Gonzaloz,0.47500000000000003,47,52,41,71,61,66,68
K. Keane,0.47500000000000003,51,49,44,51,47,67,62
P. Kurzweg,0.7000000000000001,80,65,49,41,85,53,53
T. Sana,0.675,92,77,41,39,71,27,22
Abner,1.0,75,71,38,71,78,65,56
E. Tellechea,0.6,67,61,56,64,72,69,53
H. Sendiero,0.47500000000000003,65,65,39,51,67,71,62
K. Staude,1.0,77,77,56,66,72,48,39
A. Tahar,0.55,69,69,58,70,66,69,58
A. Bourceanu,0.47500000000000003,68,59,59,68,63,66,70
M. Bouziane,0.7000000000000001,72,73,55,68,81,18,19
M. Hairston,0.8250000000000001,76,62,60,62,83,59,56
R. Harakawa,0.85,87,68,57,68,77,63,56
A. Guðmundsson,1.0,68,70,67,57,72,29,40
G. Waldschmidt,1.1,76,60,67,69,69,16,16
A. Sedlar,0.675,69,31,25,38,38,66,67
Jeong Hyuk,0.55,92,61,49,66,69,63,57
Antonio Martínez,0.625,84,51,33,60,65,73,55
O. Benítez,0.7000000000000001,38,22,20,60,53,63,66
C. Dean,0.7000000000000001,39,49,18,34,48,66,67
T. Hamed,0.0,59,69,63,64,62,66,74
D. Fox,0.425,64,66,27,64,54,68,63
J. Mæhle,0.85,64,64,46,58,87,57,62
K. Tokura,0.5750000000000001,63,58,73,72,68,14,14
S. Alami,0.85,74,66,55,60,70,41,27
P. Hanlon,0.625,80,42,28,42,68,63,66
H. Dahmani,0.65,74,61,67,62,75,38,33
T. Umesaki,0.6,73,68,59,68,62,37,38
F. Knudsen,1.0,45,32,18,42,56,64,66
N. Thompson,0.625,74,60,36,43,74,62,63
I. Salah,0.0,65,46,49,67,74,58,66
J. Zuluaga,0.75,71,49,23,52,82,65,60
A. Boljević,0.9500000000000001,76,71,61,61,72,32,19
S. Moore,0.9,75,63,47,59,82,62,59
J. Elliott,0.75,41,40,21,34,61,65,67
M. Ranégie,0.4,31,61,67,68,56,28,22
C. Klem,0.65,90,58,40,52,79,60,58
A. Martin,0.6,53,34,29,67,48,61,69
D. Miloc,0.7000000000000001,67,63,33,48,66,64,60
J. Nadeau,0.8250000000000001,59,43,28,27,60,61,65
J. Cano,0.18,69,58,25,21,67,68,64
N. Adams,0.6,70,68,57,58,67,42,35
A. Sigurðarson,0.9,73,70,61,64,78,22,38
L. Van Eenoo,0.775,71,65,56,66,57,63,38
M. Donati,0.09,58,57,47,70,43,65,60
R. Kazior,0.35000000000000003,66,66,67,66,71,43,19
A. Cherevko,0.47500000000000003,70,65,56,62,75,67,68
L. Carteldo,0.47500000000000003,56,50,45,60,49,65,70
L. James,0.625,67,59,55,68,50,57,61
Ricardo Santos,0.625,55,59,61,71,63,21,27
J. Placide,0.425,38,10,12,14,56,20,11
Y. Thuram,0.55,67,11,14,39,38,23,10
J. Willis,0.85,74,49,15,47,77,62,66
A. Bell,0.85,64,73,33,52,80,57,61
C. Lema,0.675,33,30,28,66,34,64,74
D. Crowley,0.975,74,73,55,58,68,38,35
Y. Mutō,0.675,71,66,66,76,69,34,24
O. Vera,0.5750000000000001,73,74,55,65,75,59,58
L. Hufnagel,0.875,76,69,54,60,72,53,46
M. Zappino,0.09,42,23,14,23,49,27,13
R. Lentini,0.675,76,61,66,60,78,37,20
N. Lomb,0.625,47,14,17,34,39,17,12
J. McLaughlin,0.525,60,14,20,25,52,16,13
