Name,Age,Preferred Positions,CB,LCB,RCB,LB,RB,LWB,RWB,CDM,LDM,RDM,CM,LCM,RCM,LM,RM,CAM,LAM,RAM,LW,RW,LF,RF,LS,RS,CF,ST,Rango edad,GK
T. Kaminski,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.8
D. Rudd,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,69.2
Ratón,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,69.2
S. Colombi,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.4
H. Jurjus,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.6
W. Sandilands,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,69.4
M. Lukač,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,67.0
A. Baroja,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.2
J. Rodríguez,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.4
A. Larenardo,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,70.6
Peter Torreiro,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.4
M. Kelemen,37,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,66.8
Luciano Cacheira,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,69.2
M. Dreyer,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.2
F. Fielding,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.2
Z. Steffen,22,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,
M. Silvestri,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.6
Caro,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.0
M. Delač,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.8
Aitor,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.0
I. Vargić,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.2
P. Delecroix,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,69.2
M. Gorgelin,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,
M. Schwäbe,22,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.6
R. M'Bolhi,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,66.8
C. Bonilla,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.2
A. Dovbnya,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,69.0
A. Rosati,34,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,64.2
C. Lucchetti,39,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,69.4
V. Milinković-Savić,20,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,68.2
A. Saldívar,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.4
M. Hassen,22,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.4
Mario Fernández,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,69.4
Mário Felgueiras,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.4
Pedro Trigueira,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.8
A. Aguerre,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.8
L. Steele,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,68.0
D. Bernhardt,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,68.0
A. Sánchez,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.2
N. Ibáñez,35,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,70.2
P. Klandt,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,67.6
D. Boer,36,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,66.4
M. Sayouba,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.2
K. Nakamura,22,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.4
F. Bredlow,22,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.8
N. Navarro,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,68.4
K. Müller,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.8
A. Kochenkov,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.6
Lee Tae Hee,22,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.6
A. Weis,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.8
J. Bendik,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.4
P. Bernardoni,20,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,69.8
J. Smith,22,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,
M. Maroles,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,69.2
C. Pinsoglio,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.6
I. Crudelo,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,65.8
V. Barkas,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.0
Juan Carlos,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.2
Ailton Cardenhas,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,70.6
S. Bolat,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.8
A. Werner,21,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,70.6
P. Carlgren,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,65.6
J. Brondeel,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.8
E. Marcinal,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.4
D. Perquis,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,68.2
A. Kwarasey,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.8
S. García,34,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,67.8
S. Narubin,35,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,68.2
A. Mitryushkin,21,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,68.4
J. Musso,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,69.2
S. Rochet,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.0
R. Zapata,38,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,68.0
S. Ekramy,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,70.8
B. Khuzwayo,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,70.6
C. Rigamonti,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.2
S. Clark,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,68.0
G. Lajud,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.0
T. Kirschbaum,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.0
A. Al Mayoof,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.2
A. Vural,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.6
D. Heuer Fernandes,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,69.2
Caio Padricio,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,65.8
N. Marsman,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,69.0
Quim,41,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,68.2
Gu Sung Yun,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.6
M. Grün,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.0
A. Gunn,21,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,67.6
A. Davies,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,65.2
Cristiano,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.4
Márcio Velinha,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.8
G. Arias,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.2
U. Ceylan,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,66.8
A. Pelagotti,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.8
C. Lampe,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.4
Alberto Varo,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.6
B. Hamer,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.8
M. Andersen,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.4
M. Flekken,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.4
Roberto,38,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,66.8
Casto,35,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,66.4
W. Hesl,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,64.8
J. Carvallo,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,67.6
Oh Seung Hoon,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.4
R. Zwinkels,34,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,67.0
Kim Ho Jun,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,67.2
B. Sangaré,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,66.6
E. Galeković,36,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,66.2
T. Deric,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.6
S. Gonda,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.0
J. Alvbåge,34,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,66.2
J. Blaswich,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.0
J. Huth,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.4
S. Johnson,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.0
J. Koprivec,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.6
K. Sharahili,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.8
K. Steppe,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.2
G. Deneuve,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,68.4
N. Pope,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,
J. Alnwick,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.8
R. Strebinger,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.0
P. Mandanda,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.4
D. Bičík,36,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,66.6
P. Bråtveit,21,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,66.4
A. Villete,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.6
M. Vidal,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.2
I. Stefanović,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.4
S. Frei,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,66.6
G. Coutinho,34,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,66.6
R. Williams,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.4
S. Bruzzese,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.0
W. Yarbrough,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.0
M. Birighitti,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.8
M. McGovern,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,67.0
A. Oukidja,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.8
L. Kruse,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,66.0
I. Pelizzoli,36,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,67.4
L. Azcona,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,68.6
J. MacDonald,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,66.4
T. Koubek,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.6
D. de Vries,36,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,67.4
M. van der Hart,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.0
L. Burián,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,65.6
J. Rinne,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.2
E. Mendy,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,63.0
A. Demircan,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.2
M. Borjan,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.6
B. Castillo,39,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,66.8
K. Kronholm,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,65.8
Carlos Abad,22,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.8
N. Şahin,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.2
N. Etheridge,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.6
N. Mäenpää,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,64.8
J. Moulin,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,68.2
J. Gleeson,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.6
J. Contreras,22,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.4
C. Heimeroth,35,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,66.0
Z. Boucher,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.2
A. Camura,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.8
Nicolas,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.6
S. Allagbé,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.8
T. Wellenreuther,21,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,66.0
Jesús Fernández,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,65.2
A. Rossi,21,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,64.6
L. Acosta,22,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.6
J. Zimmermann,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,66.4
F. Öztürk,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.2
Z. MacMath,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,65.6
D. Gerken,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,67.2
L. Pirard,22,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.0
M. Bettinelli,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.4
M. Pigliacelli,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,70.8
B. Amos,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.2
D. Button,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.0
S. Ortega,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,
S. Rossbach,21,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,67.0
A. Bono,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.4
D. Bingham,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,40.4
J. Gonzalez,22,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.6
M. Kolke,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,65.4
M. Müller,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.0
O. Hadžikić,21,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,68.2
J. Siebenhandl,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.8
Julián Cuesta,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.8
José Suarez,21,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,67.2
R. Áldarez,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.8
A. Mannus,35,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,66.8
N. Larsen,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,65.2
V. Eicher,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.0
D. Mesenhöler,21,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,65.0
Paulo Lopes,39,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,65.6
Fepe Avedo,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.0
Mateus Tangil,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.6
F. Farnolle,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,65.8
M. Polaček,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.6
G. Faivre,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.0
J. Bijlow,19,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,66.8
J. Archer,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.0
A. Otero,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,67.8
M. Zetterer,21,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,67.8
H. Halldórsson,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,65.6
M. Kuster,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,65.4
R. Mandanda,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.2
J. Blackman,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,
F. Kaplan,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.4
J. Wicks,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,65.6
J. Leutwiler,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.6
A. Linde,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.0
Santamaría,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,66.4
O. Zelenika,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,68.6
B. Fernandez,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,64.6
D. Orlishausen,34,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,65.6
E. Audero,20,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,66.4
L. Załuska,35,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,65.6
B. Uphoff,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.2
M. Lampson,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.4
S. Dioudis,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.2
M. Schuhen,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.8
F. Al Qarni,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.4
Bardají,22,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,64.8
J. Vachoux,22,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.4
Ricardo Ferreira,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,65.6
B. Mitrev,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.2
S. Ichazo,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.2
C. Doyle,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,65.0
G. Karačić,20,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,66.6
M. Hernández,34,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,67.4
S. Gbohouo,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.8
P. Mina,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,66.2
J. Mall,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.0
D. Kyriakidis,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.2
A. Moris,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.0
D. Haas,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,64.4
M. Vanhamel,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,65.8
E. Bologna,35,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,64.8
D. Konstantopoulos,38,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,65.2
R. Sánchez,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,64.2
Dani Jiménez,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,65.8
L. Bostyn,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,65.4
S. Burchert,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,65.6
A. Iacobucci,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,65.8
A. Budakov,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,65.6
A. Krivoruchko,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,66.6
Miguel Oliveira,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.0
S. Andersen,35,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,64.8
A. Gabbarini,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,67.6
E. Alvarado,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.0
A. Origi,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,66.0
I. Lanni,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,64.2
E. Quejeda,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.0
D. Bantelicia,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.6
B. Radunović,21,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,66.2
J. Steele,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.4
M. Lobantsev,22,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.4
G. Anestis,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.6
C. Bejarano,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,64.8
Marcelinho Moraisco,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.8
K. Begois,35,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,66.2
C. Irwin,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.6
M. Wölfli,34,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,67.2
M. Štěch,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,67.4
J. Drommel,20,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,65.2
Rubén Yáñez,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,64.8
G. Güvenç,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,65.8
N. Medvedev,22,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,65.8
P. Abrahamsson,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,66.6
Dorronsoro,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,65.2
B. Körk,37,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,66.0
